Year,Month,tem,rain
1932,10,27.2559,86.9181
1932,11,23.2841,119.142
1932,12,19.3707,6.31867
1933,1,17.267,10.6943
1933,2,20.9302,18.6183
1933,3,25.4578,4.25047
1933,4,26.6786,157.455
1933,5,27.5726,329.327
1933,6,27.705,429.113
1933,7,27.8826,610.431
1933,8,27.7244,411.573
1933,9,28.0191,221.405
1933,10,26.7932,175.592
1933,11,22.5782,4.34117
1933,12,19.0815,2.62996
1934,1,17.9754,7.59007
1934,2,20.2944,39.558
1934,3,25.0594,22.8781
1934,4,27.9356,133.701
1934,5,28.2405,326.382
1934,6,27.5306,371.785
1934,7,28.1013,575.555
1934,8,28.0593,316.366
1934,9,28.4278,747.339
1934,10,26.2628,223.748
1934,11,22.1819,32.3631
1934,12,19.0272,7.33182
1935,1,17.6546,4.94338
1935,2,20.6904,25.3281
1935,3,25.3797,20.2926
1935,4,27.3559,99.9117
1935,5,29.3369,156.903
1935,6,28.5321,552.279
1935,7,28.4028,373.398
1935,8,27.5299,633.872
1935,9,28.0197,250.749
1935,10,26.8749,47.22
1935,11,23.2079,17.8729
1935,12,19.0876,2.27944
1936,1,17.6556,5.30771
1936,2,19.9519,25.2687
1936,3,25.6072,23.6988
1936,4,28.1323,158.12
1936,5,27.7471,394.917
1936,6,27.1586,533.732
1936,7,27.9088,570.408
1936,8,28.2978,310.979
1936,9,27.8549,366.703
1936,10,26.127,228.993
1936,11,23.7141,7.66937
1936,12,19.6911,21.5583
1937,1,17.1468,0.0265
1937,2,20.2496,30.1397
1937,3,24.3094,5.98596
1937,4,28.0696,103.289
1937,5,27.8123,403.94
1937,6,28.2435,390.076
1937,7,28.5889,335.537
1937,8,27.9099,501.751
1937,9,28.2349,296.256
1937,10,26.6222,180.106
1937,11,22.6849,7.05839
1937,12,19.1976,1.35544
1938,1,19.2664,10.5036
1938,2,19.4212,11.8401
1938,3,26.1933,14.8106
1938,4,29.1067,69.324
1938,5,27.2286,465.273
1938,6,27.6996,717.301
1938,7,27.7973,547.367
1938,8,28.1085,614.125
1938,9,28.5279,220.827
1938,10,27.2116,122.557
1938,11,21.8681,46.7906
1938,12,18.9308,0.16198
1939,1,18.9613,1.57736
1939,2,21.0936,15.5098
1939,3,24.8663,15.5301
1939,4,28.8783,50.3976
1939,5,28.411,321.014
1939,6,28.1074,503.846
1939,7,27.7214,609.832
1939,8,27.9175,458.453
1939,9,27.7891,354.547
1939,10,26.6052,226.98
1939,11,22.8798,7.19556
1939,12,19.4199,2.27083
1940,1,17.8246,0.09005
1940,2,20.392,28.8248
1940,3,23.1225,123.366
1940,4,27.9876,188.578
1940,5,27.9565,356.941
1940,6,28.3484,459.402
1940,7,27.8575,345.623
1940,8,28.2643,651.6
1940,9,27.9643,291.108
1940,10,27.0944,134.946
1940,11,23.9458,4.54599
1940,12,19.7315,7.21845
1941,1,18.4257,9.50147
1941,2,20.9764,18.1531
1941,3,26.2475,11.294
1941,4,28.4779,243.23
1941,5,28.3179,327.274
1941,6,27.7471,783.675
1941,7,28.1991,460.039
1941,8,28.3456,578.413
1941,9,28.1701,222.544
1941,10,26.4394,264.913
1941,11,22.4904,69.0747
1941,12,20.364,3.15451
1942,1,18.5173,5.14758
1942,2,20.887,24.3795
1942,3,25.4426,39.3477
1942,4,27.5847,170.641
1942,5,28.9374,194.522
1942,6,28.9074,269.781
1942,7,28.4444,661.474
1942,8,27.8112,443.541
1942,9,27.5892,452.43
1942,10,27.0809,81.3453
1942,11,23.8591,16.4857
1942,12,19.2302,0.1343
1943,1,19.4068,29.3725
1943,2,19.539,25.4597
1943,3,24.4346,57.1202
1943,4,26.0894,333.39
1943,5,28.1733,208.787
1943,6,27.9244,442.53
1943,7,27.8151,522.932
1943,8,27.7138,509.659
1943,9,28.1217,323.417
1943,10,27.0109,64.8117
1943,11,23.7047,6.26408
1943,12,20.2734,0.82889
1944,1,18.4048,27.2062
1944,2,20.1012,15.227
1944,3,25.0431,42.1676
1944,4,26.5521,145.949
1944,5,29.1642,198.366
1944,6,28.895,460.273
1944,7,28.2518,408.849
1944,8,28.3515,429.219
1944,9,27.9998,230.536
1944,10,26.8679,88.1687
1944,11,22.9212,2.02702
1944,12,20.3914,0.35446
1945,1,18.2015,25.9673
1945,2,19.3508,17.3206
1945,3,25.7198,21.6969
1945,4,27.5778,171.733
1945,5,27.8711,309.845
1945,6,28.6697,383.063
1945,7,28.3827,451.998
1945,8,28.2371,358.178
1945,9,28.5058,297.065
1945,10,26.2761,284.818
1945,11,22.875,8.55173
1945,12,18.7336,0.81369
1946,1,18.7904,0.81116
1946,2,22.2759,16.2432
1946,3,25.2807,51.7841
1946,4,26.1737,267.018
1946,5,27.7316,270.761
1946,6,27.8769,425.059
1946,7,27.7379,395.186
1946,8,28.3153,538.033
1946,9,28.0705,412.309
1946,10,26.1231,297.256
1946,11,23.7298,43.8025
1946,12,20.0773,0.08892
1947,1,18.4592,2.18307
1947,2,20.8343,5.67583
1947,3,25.3178,69.8127
1947,4,28.6075,107.859
1947,5,28.4113,356.112
1947,6,28.5211,442.622
1947,7,28.12,631.931
1947,8,28.0557,446.662
1947,9,28.0439,497.411
1947,10,26.1121,261.153
1947,11,23.1268,1.08203
1947,12,20.073,30.1635
1948,1,18.8595,4.94443
1948,2,20.5453,53.1801
1948,3,24.3332,41.4551
1948,4,27.3178,265.178
1948,5,27.2727,338.362
1948,6,28.3304,383.859
1948,7,27.6623,428.44
1948,8,27.9189,504.491
1948,9,28.1084,273.255
1948,10,26.2712,238.586
1948,11,23.4262,45.6929
1948,12,18.6645,0.34566
1949,1,18.691,8.43542
1949,2,20.196,11.1358
1949,3,24.974,66.8256
1949,4,25.4455,325.503
1949,5,26.6293,397.104
1949,6,27.9464,528.721
1949,7,27.7579,575.004
1949,8,27.877,448.978
1949,9,27.8519,364.827
1949,10,27.2007,124.113
1949,11,22.2315,7.79009
1949,12,17.6854,0.24329
1950,1,18.5486,0.95331
1950,2,20.1997,37.1688
1950,3,24.4553,36.8968
1950,4,27.7109,77.3122
1950,5,28.4808,208.921
1950,6,27.8493,562.629
1950,7,27.7724,429.562
1950,8,27.3795,516.673
1950,9,28.1418,204.392
1950,10,26.6353,194.603
1950,11,22.3076,110.718
1950,12,19.193,0.81345
1951,1,17.7884,1.46508
1951,2,20.5543,0.0057
1951,3,24.8184,48.0227
1951,4,27.2714,134.69
1951,5,28.2118,201.181
1951,6,28.0756,424.819
1951,7,27.7922,639.217
1951,8,28.3824,461.463
1951,9,28.1077,326.631
1951,10,27.2955,261.506
1951,11,23.2622,38.4084
1951,12,20.3254,2.73628
1952,1,18.9548,2.819
1952,2,21.9137,2.5095
1952,3,24.0828,58.8997
1952,4,27.0739,255.301
1952,5,27.5969,288.571
1952,6,28.4238,504.859
1952,7,27.7268,603.285
1952,8,28.033,342.201
1952,9,27.7437,352.395
1952,10,26.9695,273.719
1952,11,23.0584,49.1966
1952,12,19.0419,1.43815
1953,1,17.715,13.7329
1953,2,21.4254,7.78775
1953,3,26.0308,64.1822
1953,4,28.252,114.384
1953,5,28.0526,317.316
1953,6,27.7573,543.459
1953,7,27.7162,652.124
1953,8,28.1521,397.148
1953,9,27.7436,415.956
1953,10,26.4653,119.564
1953,11,22.6183,17.1858
1953,12,20.5814,0.75467
1954,1,17.2898,15.6634
1954,2,22.1992,20.5793
1954,3,25.2363,23.3158
1954,4,29.126,91.1713
1954,5,28.893,250.974
1954,6,27.2109,683.143
1954,7,27.8235,466.429
1954,8,28.0071,450.3
1954,9,28.1271,212.264
1954,10,25.7316,177.784
1954,11,21.666,0.14087
1954,12,19.3207,6.70821
1955,1,17.988,4.17168
1955,2,20.2242,2.55556
1955,3,25.517,63.0167
1955,4,27.234,117.456
1955,5,28.6394,214.981
1955,6,28.1113,477.064
1955,7,27.3639,548.997
1955,8,27.6166,451.5
1955,9,27.976,265.446
1955,10,27.0494,171.876
1955,11,23.0927,115.431
1955,12,18.576,0.82756
1956,1,18.2806,12.145
1956,2,19.802,4.21711
1956,3,25.3792,83.9227
1956,4,27.949,118.754
1956,5,28.0995,287.922
1956,6,27.1197,595.058
1956,7,27.6612,483.284
1956,8,27.9301,510.976
1956,9,27.6135,338.255
1956,10,26.8891,173.323
1956,11,22.9846,55.2849
1956,12,19.3905,4.08725
1957,1,18.6476,21.3908
1957,2,19.5143,27.3864
1957,3,24.0236,12.6682
1957,4,28.3691,68.7759
1957,5,29.2739,129.986
1957,6,28.4367,412.538
1957,7,28.0674,527.145
1957,8,28.4941,339.035
1957,9,28.1995,230.859
1957,10,26.4778,78.5405
1957,11,22.6556,0.52471
1957,12,19.6706,1.44234
1958,1,19.7673,4.36869
1958,2,20.7237,31.3106
1958,3,25.5715,18.0814
1958,4,28.5818,137.765
1958,5,28.8361,214.459
1958,6,29.4177,226.438
1958,7,28.4789,401.132
1958,8,27.9477,476.307
1958,9,28.3228,268.075
1958,10,27.4873,166.99
1958,11,23.6633,6.81405
1958,12,20.1148,2.76849
1959,1,18.5213,25.2933
1959,2,19.8572,20.4774
1959,3,24.6577,83.1661
1959,4,28.165,122.485
1959,5,28.2968,359.432
1959,6,28.168,465.967
1959,7,28.0668,443.91
1959,8,27.9072,553.256
1959,9,27.3399,388.106
1959,10,26.1549,402.994
1959,11,22.3988,0.19915
1959,12,19.419,4.4506
1960,1,18.0893,0.03981
1960,2,22.1152,0.97754
1960,3,23.957,47.3186
1960,4,29.2185,27.0602
1960,5,29.2217,250.843
1960,6,28.6191,360.87
1960,7,27.5236,669.317
1960,8,28.4533,347.803
1960,9,27.8695,389.229
1960,10,26.882,134.597
1960,11,22.4092,29.934
1960,12,19.7958,0.58055
1961,1,19.0652,6.16273
1961,2,19.0658,22.7065
1961,3,26.0556,22.3121
1961,4,28.555,87.3954
1961,5,28.4711,192.679
1961,6,27.9452,972.536
1961,7,28.0834,294.587
1961,8,28.2561,510.77
1961,9,27.8613,208.662
1961,10,26.8185,169.7
1961,11,22.0269,5.16209
1961,12,17.5351,0.60981
1962,1,17.0844,8.66949
1962,2,20.6306,22.2978
1962,3,25.1073,6.04963
1962,4,28.0974,95.3012
1962,5,27.9313,319.335
1962,6,27.9382,399.432
1962,7,28.6468,509.042
1962,8,27.8838,401.382
1962,9,28.3854,207.679
1962,10,26.4392,170.023
1962,11,22.4533,0.1717
1962,12,19.1662,0.7377
1963,1,17.7822,0.58449
1963,2,21.9651,0.9191
1963,3,24.9482,33.631
1963,4,26.9333,117.506
1963,5,27.1739,272.534
1963,6,27.9536,459.493
1963,7,28.0948,572.234
1963,8,28.296,299.125
1963,9,28.4266,266.525
1963,10,26.5765,238.534
1963,11,22.9553,13.3191
1963,12,19.7094,0.78731
1964,1,17.9709,5.94211
1964,2,21.1238,19.8919
1964,3,26.2558,24.7424
1964,4,27.2635,213.125
1964,5,27.8866,238.66
1964,6,28.2793,502.621
1964,7,27.3133,569.584
1964,8,28.2281,326.531
1964,9,28.1808,270.624
1964,10,27.1473,316.161
1964,11,23.5157,29.8628
1964,12,19.7899,0.15303
1965,1,18.6764,0.27337
1965,2,20.4685,37.1055
1965,3,23.8589,37.4934
1965,4,27.4561,52.9001
1965,5,28.676,192.222
1965,6,28.0528,448.92
1965,7,27.5588,602.78
1965,8,27.1909,556.13
1965,9,27.7401,286.953
1965,10,26.5774,102.255
1965,11,23.1994,33.2288
1965,12,19.7873,14.7019
1966,1,18.4824,15.4377
1966,2,22.1565,0.87698
1966,3,25.1246,22.8879
1966,4,28.5128,53.478
1966,5,29.1766,183.664
1966,6,27.728,423.554
1966,7,28.2117,429.89
1966,8,27.9247,456.18
1966,9,27.6962,318.377
1966,10,25.7202,175.73
1966,11,23.7204,23.6765
1966,12,19.1252,29.1764
1967,1,18.6105,24.1993
1967,2,21.2856,3.72153
1967,3,23.8405,95.0896
1967,4,26.5681,145.831
1967,5,28.1967,197.062
1967,6,28.1625,318.576
1967,7,28.075,511.037
1967,8,27.9847,377.757
1967,9,27.4322,363.87
1967,10,26.1048,132.535
1967,11,21.6477,2.10312
1967,12,19.6023,0.45729
1968,1,17.9779,8.01219
1968,2,19.643,7.75839
1968,3,24.9615,53.2339
1968,4,27.1675,107.727
1968,5,28.0834,267.954
1968,6,26.9702,800.141
1968,7,27.7856,511.001
1968,8,28.0264,415.247
1968,9,28.4405,199.112
1968,10,26.4382,128.784
1968,11,23.1298,23.7808
1968,12,19.5489,1.31776
1969,1,17.8455,3.66924
1969,2,21.0472,0.74622
1969,3,25.8095,90.9436
1969,4,27.8697,157.083
1969,5,28.6643,125.659
1969,6,28.1842,416.228
1969,7,28.131,543.448
1969,8,27.3112,539.158
1969,9,28.0775,324.491
1969,10,26.4501,66.7082
1969,11,23.2061,25.0749
1969,12,19.5562,0.59785
1970,1,17.8687,16.7087
1970,2,20.8429,16.3557
1970,3,25.1381,30.2124
